order_id,customer_id,product_id,order_date,delivery_date,category,sub_category,product_name,unit_price,quantity,discount,revenue,payment_method,order_status,city,state,customer_age,customer_gender,customer_rating,acquisition_channel,is_first_order,return_reason,is_price_outlier,age_group,days_to_delivery,order_year,order_month,order_quarter,revenue_band,is_cancelled
ORD12299,CUST2129,PROD0261,2023-02-13,2023-02-19,Electronics,Headphones,Headphones - Model 795,5115.97,5,0.09,23277.66,Debit Card,Delivered,Kolkata,West Bengal,57,Male,3.0,Mobile App,True,N/A,False,56+,6.0,2023,2,1,Premium (10K+),False
ORD13771,CUST1716,PROD0508,2024-09-19,2024-09-22,Books,Non-Fiction,Non-Fiction - Model 984,13541.07,2,0.3,18957.5,Net Banking,Delivered,Hyderabad,Telangana,21,Female,4.0,Email Campaign,True,N/A,False,18-25,3.0,2024,9,3,Premium (10K+),False
ORD10033,CUST2989,PROD0176,2023-04-15,2023-04-23,Sports,Yoga,Yoga - Model 724,14235.84,3,0.32,29041.11,COD,Delivered,Hyderabad,Telangana,65,Female,4.0,Website,True,N/A,False,56+,8.0,2023,4,2,Premium (10K+),False
ORD11244,CUST3123,PROD0483,2024-04-17,2024-04-20,Books,Educational,Educational - Model 915,11427.31,2,0.19,18512.24,Net Banking,Delivered,Hyderabad,Telangana,49,Other,5.0,Website,True,N/A,False,46-55,3.0,2024,4,2,Premium (10K+),False
ORD13050,CUST3777,PROD0220,2024-07-31,,Beauty,Skincare,Skincare - Model 654,3119.73,1,0.09,2838.95,Credit Card,Delivered,Delhi,Delhi,22,Male,4.0,Social Media,False,N/A,False,18-25,,2024,7,3,High (2K-10K),False
ORD12240,CUST2153,PROD0184,2024-03-04,2024-03-09,Sports,Gym Equipment,Gym Equipment - Model 252,11928.95,2,0.1,21472.11,Wallet,Delivered,Ahmedabad,Gujarat,63,Male,3.0,Mobile App,False,N/A,False,56+,5.0,2024,3,1,Premium (10K+),False
ORD14137,CUST3574,PROD0259,2023-06-27,,Electronics,Cameras,Cameras - Model 590,4886.78,2,0.03,9480.35,COD,Delivered,Hyderabad,Telangana,34,Male,4.0,Email Campaign,False,N/A,False,26-35,,2023,6,2,High (2K-10K),False
ORD14078,CUST2130,PROD0316,2024-06-19,2024-06-23,Sports,Gym Equipment,Gym Equipment - Model 746,11540.29,3,0.27,25273.24,Wallet,Cancelled,Ahmedabad,Gujarat,38,Other,5.0,Email Campaign,False,N/A,False,36-45,4.0,2024,6,2,Premium (10K+),True
ORD12440,CUST3572,PROD0455,2023-10-16,2023-10-22,Books,Non-Fiction,Non-Fiction - Model 548,8327.99,2,0.22,12991.66,UPI,Delivered,Delhi,Delhi,64,Male,4.0,Social Media,False,N/A,False,56+,6.0,2023,10,4,Premium (10K+),False
ORD11912,CUST2501,PROD0593,2023-02-23,,Toys,Dolls,Dolls - Model 645,14945.2,5,0.35,48571.9,UPI,Delivered,Kolkata,West Bengal,44,Female,3.0,Social Media,False,N/A,True,36-45,,2023,2,1,Premium (10K+),False
ORD14292,CUST3535,PROD0319,2024-11-14,2024-11-16,Electronics,Cameras,Cameras - Model 720,115309.45,1,0.04,110697.07,Wallet,Delivered,Hyderabad,Telangana,32,Female,3.0,Referral,False,N/A,True,26-35,2.0,2024,11,4,Premium (10K+),False
ORD13978,CUST2126,PROD0172,2023-01-02,2023-01-09,Toys,Action Figures,Action Figures - Model 733,81761.88,1,0.22,63774.27,Net Banking,Delivered,Pune,Maharashtra,22,Male,4.0,Website,False,N/A,True,18-25,7.0,2023,1,1,Premium (10K+),False
ORD10497,CUST2852,PROD0341,2023-05-24,2023-05-29,Books,Educational,Educational - Model 800,1212.13,3,0.04,3490.93,Wallet,Delivered,Jaipur,Rajasthan,33,Male,5.0,Mobile App,False,N/A,False,26-35,5.0,2023,5,2,High (2K-10K),False
ORD12699,CUST1575,PROD0570,2023-11-29,2023-12-04,Home & Kitchen,Decor,Decor - Model 258,11605.18,1,0.27,8471.78,Credit Card,Delivered,Jaipur,Rajasthan,47,Female,4.0,Social Media,False,N/A,False,46-55,5.0,2023,11,4,High (2K-10K),False
ORD14989,CUST3464,PROD0363,2024-12-17,2024-12-21,Beauty,Fragrance,Fragrance - Model 678,11557.71,4,0.05,43919.3,UPI,Delivered,Kolkata,West Bengal,69,Female,4.0,Referral,False,N/A,False,56+,4.0,2024,12,4,Premium (10K+),False
ORD14517,CUST2375,PROD0166,2024-07-14,,Sports,Gym Equipment,Gym Equipment - Model 908,13453.79,4,0.21,42513.98,UPI,Processing,Pune,Maharashtra,41,Male,3.0,Mobile App,True,N/A,False,36-45,,2024,7,3,Premium (10K+),False
ORD11451,CUST1279,PROD0489,2023-09-06,2023-09-14,Clothing,Jackets,Jackets - Model 467,9286.82,1,0.02,9101.08,Wallet,Returned,Hyderabad,Telangana,43,Female,3.0,Email Campaign,False,Not as Described,False,36-45,8.0,2023,9,3,High (2K-10K),False
ORD12990,CUST2681,PROD0494,2024-03-09,,Home & Kitchen,Cookware,Cookware - Model 177,2729.87,4,0.02,10701.09,UPI,Delivered,Ahmedabad,Gujarat,68,Male,5.0,Referral,True,N/A,False,56+,,2024,3,1,Premium (10K+),False
ORD12943,CUST3438,PROD0164,2023-01-31,2023-02-10,Home & Kitchen,Lighting,Lighting - Model 482,10730.64,4,0.16,36054.95,Net Banking,Returned,Ahmedabad,Gujarat,23,Female,5.0,Referral,True,,False,18-25,10.0,2023,1,1,Premium (10K+),False
ORD10927,CUST3187,PROD0121,2024-09-21,,Clothing,Jackets,Jackets - Model 344,79473.05,4,0.23,244776.99,Credit Card,Delivered,Bengaluru,Karnataka,39,Male,3.0,Social Media,False,N/A,True,36-45,,2024,9,3,Premium (10K+),False
ORD11323,CUST1359,PROD0372,2023-01-15,,Sports,Cycling,Cycling - Model 844,3327.25,5,0.39,10148.11,Wallet,Delivered,Mumbai,Maharashtra,24,Other,1.0,Referral,False,N/A,False,18-25,,2023,1,1,Premium (10K+),False
ORD14894,CUST1100,PROD0219,2024-01-06,2024-01-15,Books,Comics,Comics - Model 300,5832.77,2,0.33,7815.91,Net Banking,Delivered,Kolkata,West Bengal,43,Other,4.0,Social Media,False,N/A,False,36-45,9.0,2024,1,1,High (2K-10K),False
ORD12099,CUST2830,PROD0176,2024-05-17,2024-05-22,Electronics,Smartphones,Smartphones - Model 297,5969.76,2,0.24,9074.04,Net Banking,Delivered,Jaipur,Rajasthan,52,Female,4.0,Email Campaign,False,N/A,False,46-55,5.0,2024,5,2,High (2K-10K),False
ORD10731,CUST2356,PROD0267,2024-09-27,2024-10-02,Beauty,Skincare,Skincare - Model 546,12227.89,4,0.34,32281.63,COD,Delivered,Mumbai,Maharashtra,45,Female,4.0,Email Campaign,True,N/A,False,36-45,5.0,2024,9,3,Premium (10K+),False
ORD10838,CUST3635,PROD0273,2024-02-14,2024-02-19,Home & Kitchen,Decor,Decor - Model 724,8729.8,3,0.1,23570.46,UPI,Processing,Delhi,Delhi,38,Other,5.0,Website,True,N/A,False,36-45,5.0,2024,2,1,Premium (10K+),False
ORD12846,CUST1266,PROD0306,2024-12-29,2025-01-05,Books,Educational,Educational - Model 906,11823.86,2,0.08,21755.9,Credit Card,Cancelled,Kolkata,West Bengal,34,Female,4.0,Mobile App,False,N/A,False,26-35,7.0,2024,12,4,Premium (10K+),True
ORD11992,CUST3165,PROD0395,2024-09-02,2024-09-10,Beauty,Haircare,Haircare - Model 233,9172.87,5,0.08,42195.2,COD,Shipped,Chennai,Tamil Nadu,40,Other,4.0,Social Media,True,N/A,False,36-45,8.0,2024,9,3,Premium (10K+),False
ORD12900,CUST2759,PROD0331,2023-03-31,2023-04-04,Books,Non-Fiction,Non-Fiction - Model 104,1961.61,5,0.15,8336.84,Credit Card,Cancelled,Pune,Maharashtra,32,Other,3.0,Website,False,N/A,False,26-35,4.0,2023,3,1,High (2K-10K),True
ORD10626,CUST3447,PROD0524,2024-10-18,,Books,Biography,Biography - Model 802,6964.89,2,0.12,12258.21,COD,Delivered,Surat,Gujarat,47,Female,4.0,Mobile App,False,N/A,False,46-55,,2024,10,4,Premium (10K+),False
ORD11541,CUST2605,PROD0462,2023-06-08,,Books,Biography,Biography - Model 153,1647.81,2,0.06,3097.88,Net Banking,Delivered,Surat,Gujarat,57,Male,5.0,Mobile App,False,N/A,False,56+,,2023,6,2,High (2K-10K),False
ORD12509,CUST3416,PROD0300,2023-11-24,,Books,Comics,Comics - Model 287,13401.7,4,0.09,48782.19,Debit Card,Cancelled,Mumbai,Maharashtra,64,Male,3.0,Email Campaign,False,N/A,False,56+,,2023,11,4,Premium (10K+),True
ORD10538,CUST1347,PROD0170,2023-03-25,,Toys,Board Games,Board Games - Model 593,6785.63,3,0.29,14453.39,COD,Returned,Kolkata,West Bengal,55,Male,3.0,Website,True,Wrong Item,False,46-55,,2023,3,1,Premium (10K+),False
ORD13690,CUST2139,PROD0329,2023-10-09,2023-10-11,Toys,Educational,Educational - Model 547,12411.54,3,0.16,31277.08,Wallet,Shipped,Mumbai,Maharashtra,69,Other,3.0,Social Media,True,N/A,False,56+,2.0,2023,10,4,Premium (10K+),False
ORD12944,CUST3421,PROD0586,2023-05-31,2023-06-07,Beauty,Wellness,Wellness - Model 721,11397.13,5,0.01,56415.79,Debit Card,Delivered,Kolkata,West Bengal,35,Male,2.0,Email Campaign,True,N/A,False,26-35,7.0,2023,5,2,Premium (10K+),False
ORD13817,CUST2670,PROD0189,2023-01-14,2023-01-23,Beauty,Haircare,Haircare - Model 716,12362.11,3,0.29,26331.29,UPI,Delivered,Delhi,Delhi,56,Female,4.0,Website,True,N/A,False,56+,9.0,2023,1,1,Premium (10K+),False
ORD14795,CUST2800,PROD0342,2024-03-26,,Toys,Action Figures,Action Figures - Model 123,4840.0,4,0.37,12196.8,Wallet,Delivered,Surat,Gujarat,65,Other,3.0,Mobile App,False,N/A,False,56+,,2024,3,1,Premium (10K+),False
ORD13399,CUST3693,PROD0192,2023-05-08,2023-05-13,Beauty,Makeup,Makeup - Model 274,8671.7,5,0.1,39022.65,Wallet,Processing,Jaipur,Rajasthan,45,Male,5.0,Mobile App,True,N/A,False,36-45,5.0,2023,5,2,Premium (10K+),False
ORD12880,CUST1323,PROD0365,2023-09-09,2023-09-10,Clothing,Men Shirts,Men Shirts - Model 998,5006.89,4,0.3,14019.29,Net Banking,Delivered,Kolkata,West Bengal,26,Other,4.0,Website,True,N/A,False,26-35,1.0,2023,9,3,Premium (10K+),False
ORD12436,CUST3493,PROD0454,2023-01-09,2023-01-10,Clothing,Women Tops,Women Tops - Model 762,5813.4,2,0.15,9882.78,Credit Card,Delivered,Mumbai,Maharashtra,69,Other,5.0,Referral,False,N/A,False,56+,1.0,2023,1,1,High (2K-10K),False
